Entry_ID,State Patient Number,Date Announced,Age Bracket,Gender,Detected City,Detected District,Detected State,State code,Num Cases,Current Status,Contracted from which Patient (Suspected),Notes,Source_1,Source_2,Source_3,Nationality,Type of transmission,Status Change Date,Patient Number
376361,,13/11/2020,,,,Jagatsinghpur,Odisha,OR,51,Hospitalized,,,http://twitter.com/IPR_Odisha/status/1327123420191059969,,,,,,
376362,,13/11/2020,,,,Jajpur,Odisha,OR,39,Hospitalized,,,http://twitter.com/IPR_Odisha/status/1327123420191059969,,,,,,
376363,,13/11/2020,,,,Jharsuguda,Odisha,OR,27,Hospitalized,,,http://twitter.com/IPR_Odisha/status/1327123420191059969,,,,,,
376364,,13/11/2020,,,,Kalahandi,Odisha,OR,43,Hospitalized,,,http://twitter.com/IPR_Odisha/status/1327123420191059969,,,,,,
376365,,13/11/2020,,,,Kandhamal,Odisha,OR,19,Hospitalized,,,http://twitter.com/IPR_Odisha/status/1327123420191059969,,,,,,
376366,,13/11/2020,,,,Kendrapara,Odisha,OR,38,Hospitalized,,,http://twitter.com/IPR_Odisha/status/1327123420191059969,,,,,,
376367,,13/11/2020,,,,Adilabad,Telangana,TG,18,Hospitalized,,,https://twitter.com/drgsrao/status/1327082180896428038/photo/1,,,,,,
376368,,13/11/2020,,,,Bhadradri Kothagudem,Telangana,TG,65,Hospitalized,,,https://twitter.com/drgsrao/status/1327082180896428038/photo/1,,,,,,
376369,,13/11/2020,,,,Hyderabad,Telangana,TG,169,Hospitalized,,,https://twitter.com/drgsrao/status/1327082180896428038/photo/1,,,,,,
376370,,13/11/2020,,,,Jagtial,Telangana,TG,23,Hospitalized,,,https://twitter.com/drgsrao/status/1327082180896428038/photo/1,,,,,,
376371,,13/11/2020,,,,Jangaon,Telangana,TG,11,Hospitalized,,,https://twitter.com/drgsrao/status/1327082180896428038/photo/1,,,,,,
376372,,13/11/2020,,,,Jayashankar Bhupalapally,Telangana,TG,16,Hospitalized,,,https://twitter.com/drgsrao/status/1327082180896428038/photo/1,,,,,,
